"","title","url","paper","author","text"
"24","Flowers for U.S. Senator John McCain at Vietnam War crash site in Hanoi","https://www.thehindu.com/news/international/flowers-for-us-senator-john-mccain-at-vietnam-war-crash-site-in-hanoi/article24784088.ece","The Hindu","Reuters","On the shores of a still and peaceful lake on the edge of downtown Hanoi, the inscription on a faded monument stands as a reminder of a violent event 51 years ago. “On Oct 26, 1967, at Truc Bach Lake, the military and people of Hanoi arrested Major John Sidne… [+2391 chars]"
"25","Did You Know That Our Beloved Pav Bhaji Is Connected To The American Civil War? Here's How","https://www.indiatimes.com/trending/wtf/did-you-know-that-our-beloved-pav-bhaji-is-connected-to-the-american-civil-war-here-s-how-351788.html","The Times of India","Grace Bains","We all love a good plate of pav bhaji that comes with dollops of butter melting on the dish, don't we? But we're pretty sure you didn't know about the origin of this majestic dish that has become so famous that it is synonymous with the city of Mumbai. So, ba… [+1789 chars]"
"26","Onam celebrations go low-key in city","https://www.thehindu.com/news/cities/Thiruvananthapuram/onam-celebrations-go-low-key-in-city/article24764189.ece","The Hindu","Staff Reporter","It is a subdued Onam this year in the city. There is little rejoicing as the State comes to terms with devastation on an unprecedented scale and city residents pool their efforts and resources to rush aid to those who saw their life’s work wiped away in no ti… [+1527 chars]"
"27","Draft waste management bylaws come under flak","https://www.thehindu.com/news/national/karnataka/draft-waste-management-bylaws-come-under-flak/article24763057.ece","The Hindu","K.V. Adita Bharadwaj","The draft Solid Waste Management bylaws 2018 for municipalities and municipal corporations notified by the Directorate of Municipal Administration has taken some of the best practices evolved in Bengaluru to other cities in the State. These include ward commi… [+2499 chars]"
"28","Festive mood returning to Kozhikode","https://www.thehindu.com/news/cities/kozhikode/festive-mood-returning-to-kozhikode/article24748075.ece","The Hindu","Staff Reporter","The downpour is over. There is sunshine all over. Kozhikode is slowly getting into a festive mood with Bakrid being observed on Wednesday and Thiruvonam just three days away, though there is no fervour per se. Customers were seen coming back to S.M. Street, t… [+1328 chars]"
"29","Two worlds in conference","https://www.thehindu.com/entertainment/theatre/two-worlds-in-conference/article24746177.ece","The Hindu","Vikram Phukan","For a young theatre group to come good on the promise of the blurb, so frequently overstated these days, is a rare occurrence indeed. Pune’s Theatre Flamingo have done just that with their engaging immersive theatre outing, Read Me in 5D Zone, which we have p… [+4742 chars]"
"30","How chai arrived in India 170 years ago","https://www.thehindu.com/society/how-chai-arrived-in-india-170-years-ago/article24724665.ece","The Hindu","Arup K. Chatterjee","Britain’s first taste of tea was belated — the Chinese had been drinking it for 2,000 years. The English diarist, Samuel Pepys, mentions tea in his diary entry from September 25, 1600. “Tcha,” wrote Pepys, the “excellent and by all Physicians approved, China … [+10683 chars]"
"31","Global Adjustments Foundation comes up with cloth bag-making initiative","https://www.thehindu.com/news/cities/chennai/global-adjustments-foundation-comes-up-with-cloth-bag-making-initiative/article24717011.ece","The Hindu","L. Kanthimathi","With a ban on a variety of plastic items set to come into effect in Tamil Nadu a few months from now, Global Adjustments Foundation has come up with a cloth bag-making initiative involving students. Cloth bags made by school students as part of an after-schoo… [+1369 chars]"
"32","The allure of the flower","https://www.thehindu.com/news/cities/bangalore/the-allure-of-the-flower/article24705701.ece","The Hindu","Harshini Vakkalanka","The first thing that catches your attention, apart from the crowds milling in for the flower show, as your enter Lalbagh’s West gate, is the Lalbagh Lake. Relatively less crowded, and more entrancing in the soft drizzle, the walk around the lake has to wait s… [+3544 chars]"
"33","Ayushman Bharat health insurance: Entitlement and eligibility","https://economictimes.indiatimes.com/wealth/insure/ayushman-bharat-how-to-check-entitlement-and-eligibility/articleshow/65422257.cms","The Times of India","ET Online","Prime Minister Narendra Modi, in his Independence Day speech, announced the launch of the Ayushman Bharat-National Health Protection Scheme ( AB-NHPS ). He said that the national health insurance scheme will be rolled out on a pilot basis in some states. The … [+6534 chars]"
"34","Indira Canteens served 6 crore meals in 11 months","https://timesofindia.indiatimes.com/city/bengaluru/happy-anniversary-indira-canteens-served-6-crore-meals-in-11-months/articleshow/65418350.cms","The Times of India",NA,"BENGALURU: Indira Canteens, launched by former CM Siddaramaiah, have served up nearly 6 crore meals to Bengalureans in the past 11 months. The menu has grown and so has the number of Indira Canteens while mobile canteens have been added as well. The consensus… [+2633 chars]"
"35","Mylapore stretch: New plan in the offing","https://www.thehindu.com/todays-paper/tp-features/tp-downtown/mylapore-stretch-new-plan-in-the-offing/article24678832.ece","The Hindu","The Hindu","A little over a year ago, a short stretch in Mylapore, barely 200 feet long — from the entrance of Kapaleeswarar Temple to Kumara Gurunathan Street — was made off limits for vehicles, all through the week. Barricades were placed at the entrance declaring it a… [+1276 chars]"
"36","Pavements become parking lots, dump yards","https://www.thehindu.com/todays-paper/tp-features/tp-downtown/pavements-become-parking-lots-dump-yards/article24678176.ece","The Hindu","The Hindu","Haphazard parking of vehicles on R.A. Puram Third Cross Street and C. P. Ramaswamy Road in Alwarpet have robbed the pedestrians of their safe walking space, forcing them to walk on the carriageway. The stretches are lined with commercial establishments on bot… [+1134 chars]"
"37","BBMP’s drive against banned plastic continues","https://www.thehindu.com/news/cities/bangalore/bbmps-drive-against-banned-plastic-continues/article24667640.ece","The Hindu","Special Correspondent","The Bruhat Bengaluru Mahanagara Palike (BBMP) officials, on Saturday, raided several shops in Shivajinagar and on Avenue Road as part of their crackdown on banned plastics such as plastic spoons, plates, cups, poly-propelene bags, etc. Around 200 kg of banned… [+1437 chars]"
"38","Laddoos that are anything but sweet","https://www.thehindu.com/life-and-style/food/laddoos-that-are-anything-but-sweet/article24664141.ece","The Hindu","RAHUL VERMA","Nostalgia, I think, is a khomcha. When we were kids, a man carrying that small basket with a stand meant good news – for he brought with him delicious snacks. Many carried gol gappas in the baskets, a few came with crispy and fluffy papads – and then there we… [+2932 chars]"
"39","Olam Flea Market is all set for its Technopark edition","https://www.thehindu.com/life-and-style/olam-flea-market-which-made-waves-with-their-summer-edition-is-now-back-at-technopark/article24654447.ece","The Hindu","Harikumar J.S.","Encore! The melting pot of cheer, culture and couture is back. With its maiden summer edition attracting substantial footfall, Olam Flea Market is pulling no punches this time with its two-day special Technopark edition, starting this Monday. And all put in p… [+5276 chars]"
"40","A solar-powered fridge for street food vendors","https://www.thehindu.com/news/cities/bangalore/a-solar-powered-fridge-for-street-food-vendors/article24647048.ece","The Hindu","Sarumathi K.","Every evening, at Sanjaynagar, a quiet residential neighbourhood, Chaat Street, as it is popularly known, becomes a street food hub that draws food lovers from across the city. Around 10 to 15 vendors set up stalls offering everything from chaat and momos to … [+1923 chars]"
"41","Drainage work, a hasslefor visitors to fish market","https://www.thehindu.com/news/cities/Madurai/drainage-work-a-hasslefor-visitors-to-fish-market/article24639471.ece","The Hindu","Sanjana Ganesh","The Karimedu fish market has a special place for software engineer A. Jegadeesan, who has been residing in its neighbourhood for over 10 years. He says the slush and stench of the market are an essential part of a fish purchase every weekend. “How else will w… [+2597 chars]"
"42","Businesses across the State stay shut","https://www.thehindu.com/news/national/tamil-nadu/businesses-across-the-state-stay-shut/article24637308.ece","The Hindu","Staff Reporter","Business enterprises across Tamil Nadu remained closed on Wednesday as a mark of respect for the late DMK leader M. Karunanidhi. The trading community across the State downed shutters and pasted posters hailing the departed leader. Techies across the State, i… [+1770 chars]"
"43","Delhi On Alert After Arrest Of Man Carrying Bombs In A Bus; Intel Warns Of Possible Terror Attack","https://www.indiatimes.com/news/india/delhi-on-alert-after-arrest-of-man-carrying-bombs-in-a-bus-intel-warns-of-possible-terror-attack-350802.html","The Times of India","Somreet Bhattacharya","A bike squad will keep an eye on suspicious people and vehicles after a high alert has been sounded in the capital following the arrest of a man found to be carrying explosives in a bus bound for Delhi from Jammu. Security has been tightened at all bus termin… [+1615 chars]"
"44","The nostalgic dosa","https://www.thehindu.com/opinion/open-page/the-nostalgic-dosa/article24603506.ece","The Hindu","The Hindu","I love R.K. Narayan’s stories, and often the best part is his description of the fictional town of Malgudi, its various inhabitants, even the stray animals of the town and every other little aspect. Many of these somehow seem to match the sleepy city of Mysor… [+3440 chars]"
